learning_rate,trees_per_update,initial_mae,final_mae,vs_baseline,improvement,volatility
0.02,100,25.3384,14.9424,-10.396,10.396,7.3555
0.01,200,25.3384,16.8025,-8.5359,8.5359,8.9215
0.02,200,25.3384,18.8625,-6.476,6.476,9.1788
0.02,150,25.3384,19.6328,-5.7057,5.7057,11.7972
0.01,25,25.3384,20.9264,-4.412,4.412,6.4476
0.001,200,25.3384,21.0327,-4.3058,4.3058,6.4489
0.003,50,25.3384,21.05,-4.2884,4.2884,5.4726
0.001,150,25.3384,21.1269,-4.2115,4.2115,5.3805
0.005,25,25.3384,21.1523,-4.1861,4.1861,4.6137
0.003,100,25.3384,21.1892,-4.1492,4.1492,6.8313
0.005,50,25.3384,21.3491,-3.9893,3.9893,7.012
0.001,100,25.3384,21.5187,-3.8197,3.8197,4.1035
0.02,50,25.3384,21.6069,-3.7315,3.7315,5.409
0.01,150,25.3384,21.7752,-3.5632,3.5632,8.2624
0.003,150,25.3384,21.8841,-3.4543,3.4543,6.9458
0.005,100,25.3384,21.9641,-3.3744,3.3744,6.5768
0.003,25,25.3384,22.0948,-3.2437,3.2437,3.1369
0.01,50,25.3384,22.2284,-3.11,3.11,6.7521
0.01,100,25.3384,22.6019,-2.7365,2.7365,6.7792
0.02,25,25.3384,22.7093,-2.6291,2.6291,7.2467
0.001,50,25.3384,22.8025,-2.536,2.536,2.4496
0.005,150,25.3384,22.9727,-2.3657,2.3657,7.7943
0.003,200,25.3384,23.0745,-2.264,2.264,7.3743
0.005,200,25.3384,23.322,-2.0164,2.0164,8.028
0.001,25,25.3384,23.8965,-1.4419,1.4419,1.332
